 ,english,hindi,option1,option2,option3,option4
Horse,घोड़ा,थका हुआ,सुबह,बड़े,घोड़ा
Cat,बिल्ली,खेल,घोड़ा,बिल्ली,बड़े
Monkey,बंदर,घोड़ा,बंदर,कबूतर,बिल्ली
Pigeon,कबूतर,कबूतर,घोड़ा,थका हुआ,सुबह
Tiger,बाघ,थका हुआ,बाघ,बड़े,बिल्ली
Morning,सुबह,घोड़ा,बड़े,सुबह,बाघ
Big,बड़े,बिल्ली,बाघ,थका हुआ,बड़े
Work,काम,कबूतर,बिल्ली,काम,सुबह
Tired,थका हुआ,घोड़ा,थका हुआ,बड़े,बिल्ली 
Game,खेल,घोड़ा,खेल,बिल्ली,बड़े 
Donkey,गधा,कबूतर,काम,घोड़ा,गधा
Ant,चींटी,गधा,चींटी,बिल्ली,काम
Elephant,हाथी,हाथी,कबूतर,बिल्ली,काम
